,Release,title,Cost,BoxOff,imdb,PNL,PNL Ratio
0,1937-12-21,Snow White and the Seven Dwarfs,1490000.0,418000000.0,7.6,416510000.0,279.5
1,1940-02-07,Pinocchio,2600000.0,164000000.0,7.4,161400000.0,62.1
2,1940-11-13,Fantasia,2280000.0,83300000.0,7.8,81020000.0,35.5
3,1941-06-20,The Reluctant Dragon,600000.0,960000.0,6.9,360000.0,0.6
4,1941-10-23,Dumbo,950000.0,1300000.0,7.2,350000.0,0.4
5,1942-08-09,Bambi,858000.0,267400000.0,7.3,266542000.0,310.7
6,1943-07-17,Victory Through Air Power,788000.0,799000.0,6.5,11000.0,0.0
7,1946-04-20,Make Mine Music,1350000.0,3275000.0,6.3,1925000.0,1.4
8,1946-11-12,Song of the South,2125000.0,65000000.0,7.1,62875000.0,29.6
9,1948-05-27,Melody Time,1500000.0,2560000.0,6.4,1060000.0,0.7
10,1948-11-29,So Dear to My Heart,1500000.0,3700000.0,6.8,2200000.0,1.5
11,1950-02-15,Cinderella,2900000.0,263600000.00000003,6.9,260700000.00000003,89.9
12,1950-06-22,Treasure Island,1800000.0,4100000.0,6.9,2300000.0,1.3
13,1951-07-26,Alice in Wonderland,3000000.0,5600000.0,6.4,2600000.0,0.9
14,1953-02-05,Peter Pan,4000000.0,87400000.0,7.3,83400000.0,20.8
15,1953-08-08,The Sword and the Rose,2000000.0,1000000.0,6.4,-1000000.0,-0.5
16,1953-11-10,The Living Desert,300000.0,2600000.0,7.5,2300000.0,7.7
17,1954-12-23,"20,000 Leagues Under the Sea",5000000.0,28200000.0,7.2,23200000.0,4.6
18,1955-06-22,Lady and the Tramp,4000000.0,187000000.0,7.3,183000000.0,45.8
19,1959-01-29,Sleeping Beauty,6000000.0,51600000.0,7.2,45600000.0,7.6
20,1959-03-19,The Shaggy Dog,1000000.0,12300000.0,4.4,11300000.0,11.3
21,1959-11-10,Third Man on the Mountain,2000000.0,1700000.0,7.2,-300000.0,-0.2
22,1960-05-19,Pollyanna,2500000.0,3750000.0,7.4,1250000.0,0.5
23,1960-12-21,Swiss Family Robinson,4000000.0,40000000.0,7.2,36000000.0,9.0
24,1961-01-25,One Hundred and One Dalmatians,3600000.0,303000000.0,7.2,299400000.0,83.2
25,1961-12-14,Babes in Toyland,3000000.0,4600000.0,6.3,1600000.0,0.5
26,1962-05-17,Bon Voyage!,3000000.0,5000000.0,5.8,2000000.0,0.7
27,1963-12-25,The Sword in the Stone,3000000.0,22200000.0,7.2,19200000.0,6.4
28,1964-08-27,Mary Poppins,4400000.0,103100000.0,7.8,98700000.0,22.4
29,1967-10-18,The Jungle Book,4000000.0,378000000.0,7.4,374000000.0,93.5
30,1967-06-23,The Happiest Millionaire,5000000.0,5000000.0,6.8,0.0,0.0
31,1968-12-24,The Love Bug,5000000.0,51264000.0,6.5,46264000.0,9.3
32,1970-12-11,The Aristocats,4000000.0,191000000.0,7.1,187000000.0,46.8
33,1971-10-07,Bedknobs and Broomsticks,6300000.0,17900000.0,7.1,11600000.0,1.8
34,1973-11-08,Robin Hood,5000000.0,32000000.0,6.6,27000000.0,5.4
35,1974-12-20,The Island at the Top of the World,8000000.0,10000000.0,6.3,2000000.0,0.2
36,1976-12-17,Freaky Friday,5000000.0,36000000.0,6.2,31000000.0,6.2
37,1977-06-22,The Rescuers,7500000.0,169000000.0,6.9,161500000.0,21.5
38,1977-11-03,Pete's Dragon,10000000.0,36000000.0,6.7,26000000.0,2.6
39,1979-12-18,The Black Hole,20000000.0,35800000.0,6.0,15800000.0,0.8
40,1980-04-17,The Watcher in the Woods,9000000.0,5000000.0,6.3,-4000000.0,-0.4
41,1980-07-09,The Last Flight of Noah's Ark,6000000.0,11000000.0,5.8,5000000.0,0.8
42,1980-12-06,Popeye,20000000.0,60000000.0,5.3,40000000.0,2.0
43,1981-06-26,Dragonslayer,18000000.0,14100000.0,6.7,-3900000.0,-0.2
44,1981-07-10,The Fox and the Hound,12000000.0,63500000.0,7.3,51500000.0,4.3
45,1982-07-30,Tex,5000000.0,7400000.0,6.5,2400000.0,0.5
